acid	aid	assay_component_name	assay_component_desc	assay_component_target_desc	biological_process_target	approved_symbol	id	ensembl_gene_id	_merge
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000105329	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000100219	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000170365	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000102145	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000162599	both
73	5	ATG_RORE_CIS	ATG_RORE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element RORE, which is responsive to the endogenous human RAR-related orphan receptor A and RAR-related orphan receptor B and RAR-related orphan receptor C [GeneSymbol:RORA & RORB & RORC | GeneID:6095 & 6096 & 6097 | Uniprot_SwissProt_Accession:P35398 & Q92753 & P51449].	regulation of transcription factor activity	rora	ENSG00000069667	ENSG00000120738	both
73	5	ATG_RORE_CIS	ATG_RORE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element RORE, which is responsive to the endogenous human RAR-related orphan receptor A and RAR-related orphan receptor B and RAR-related orphan receptor C [GeneSymbol:RORA & RORB & RORC | GeneID:6095 & 6096 & 6097 | Uniprot_SwissProt_Accession:P35398 & Q92753 & P51449].	regulation of transcription factor activity	rora	ENSG00000069667	ENSG00000091831	both
73	5	ATG_RORE_CIS	ATG_RORE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element RORE, which is responsive to the endogenous human RAR-related orphan receptor A and RAR-related orphan receptor B and RAR-related orphan receptor C [GeneSymbol:RORA & RORB & RORC | GeneID:6095 & 6096 & 6097 | Uniprot_SwissProt_Accession:P35398 & Q92753 & P51449].	regulation of transcription factor activity	rora	ENSG00000069667	ENSG00000169856	both
73	5	ATG_RORE_CIS	ATG_RORE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element RORE, which is responsive to the endogenous human RAR-related orphan receptor A and RAR-related orphan receptor B and RAR-related orphan receptor C [GeneSymbol:RORA & RORB & RORC | GeneID:6095 & 6096 & 6097 | Uniprot_SwissProt_Accession:P35398 & Q92753 & P51449].	regulation of transcription factor activity	rora	ENSG00000069667	ENSG00000012504	both
73	5	ATG_RORE_CIS	ATG_RORE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element RORE, which is responsive to the endogenous human RAR-related orphan receptor A and RAR-related orphan receptor B and RAR-related orphan receptor C [GeneSymbol:RORA & RORB & RORC | GeneID:6095 & 6096 & 6097 | Uniprot_SwissProt_Accession:P35398 & Q92753 & P51449].	regulation of transcription factor activity	rora	ENSG00000069667	ENSG00000143257	both
73	5	ATG_RORE_CIS	ATG_RORE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element RORE, which is responsive to the endogenous human RAR-related orphan receptor A and RAR-related orphan receptor B and RAR-related orphan receptor C [GeneSymbol:RORA & RORB & RORC | GeneID:6095 & 6096 & 6097 | Uniprot_SwissProt_Accession:P35398 & Q92753 & P51449].	regulation of transcription factor activity	rora	ENSG00000069667	ENSG00000168610	both
73	5	ATG_RORE_CIS	ATG_RORE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element RORE, which is responsive to the endogenous human RAR-related orphan receptor A and RAR-related orphan receptor B and RAR-related orphan receptor C [GeneSymbol:RORA & RORB & RORC | GeneID:6095 & 6096 & 6097 | Uniprot_SwissProt_Accession:P35398 & Q92753 & P51449].	regulation of transcription factor activity	rora	ENSG00000069667	ENSG00000107175	both
73	5	ATG_RORE_CIS	ATG_RORE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element RORE, which is responsive to the endogenous human RAR-related orphan receptor A and RAR-related orphan receptor B and RAR-related orphan receptor C [GeneSymbol:RORA & RORB & RORC | GeneID:6095 & 6096 & 6097 | Uniprot_SwissProt_Accession:P35398 & Q92753 & P51449].	regulation of transcription factor activity	rora	ENSG00000069667	ENSG00000101412	both
